Поток Энергий,Древний Ветер,Дыхание Истока,Магическая производительность,Расхождения в стабильности магии,Гармония Бессмертия
6677.38,0.0,0.95,18.820975609756097,-0.025000000000000022,0.975
6828.469,1.019,0.95,10.754843205574915,-0.025000000000000022,0.975
7111.811,0.0,0.95,17.876293436293437,-0.025000000000000022,0.975
7792.63,0.0,0.95,17.243798882681567,-0.025000000000000022,0.975
8494.777,1.026,0.95,14.782758620689654,-0.025000000000000022,0.975
8828.36,1.03,0.95,13.078983050847457,-0.025000000000000022,0.975
9132.429,0.0,0.95,11.89784140969163,-0.025000000000000022,0.975
9318.562,0.0,0.95,9.989126213592233,-0.025000000000000022,0.975
9778.528,0.0,0.95,7.581812227074235,-0.025000000000000022,0.975
6683.916,1.019,0.95,19.535696202531646,-0.026000000000000023,0.976
6828.438,0.0,0.95,10.680415224913496,-0.026000000000000023,0.976
7114.396,1.02,0.95,17.94558139534884,-0.026000000000000023,0.976
7794.646,0.0,0.95,17.243798882681567,-0.026000000000000023,0.976
8495.697,1.026,0.95,14.81113243761996,-0.026000000000000023,0.976
8829.394,0.0,0.95,13.097482319660537,-0.026000000000000023,0.976
9132.932,0.0,0.95,11.910959206174201,-0.026000000000000023,0.976
9318.935,1.04,0.95,10.005316045380875,-0.026000000000000023,0.976
9779.311,0.0,0.95,7.5900983606557375,-0.026000000000000023,0.976
6697.838,0.0,0.95,17.537727272727274,-0.027000000000000024,0.977
6830.364,0.0,0.95,10.680415224913496,-0.027000000000000024,0.977
7116.987,0.0,0.95,17.94558139534884,-0.027000000000000024,0.977
7796.657,1.022,0.95,17.292100840336136,-0.027000000000000024,0.977
8496.61,0.0,0.95,14.839615384615383,-0.027000000000000024,0.977
8830.433,0.0,0.95,13.13463829787234,-0.027000000000000024,0.977
9133.432,0.0,0.95,11.9372817679558,-0.027000000000000024,0.977
9319.306,0.0,0.95,10.021558441558442,-0.027000000000000024,0.977
9780.103,0.0,0.95,7.598402625820569,-0.027000000000000024,0.977
6714.114,0.0,0.95,14.42355140186916,-0.028000000000000025,0.978
6830.317,0.0,0.95,10.680415224913496,-0.028000000000000025,0.978
7119.575,0.0,0.95,18.015408560311286,-0.028000000000000025,0.978
7798.673,0.0,0.95,17.340674157303372,-0.028000000000000025,0.978
8497.521,0.0,0.95,14.868208092485547,-0.028000000000000025,0.978
8831.471,0.0,0.95,13.153295454545454,-0.028000000000000025,0.978
9133.933,0.0,0.95,11.950486725663717,-0.028000000000000025,0.978
9319.674,0.0,0.95,10.037853658536585,-0.028000000000000025,0.978
9780.887,0.0,0.95,7.6067250821467685,-0.028000000000000025,0.978
6725.143,0.0,0.95,12.446129032258066,-0.029000000000000026,0.979
6831.294,0.0,0.95,10.717500000000001,-0.029000000000000026,0.979
7122.162,1.02,0.95,18.08578125,-0.029000000000000026,0.979
7800.688,0.0,0.95,17.389521126760563,-0.029000000000000026,0.979
8498.442,0.0,0.95,14.896911196911196,-0.029000000000000026,0.979
8832.506,0.0,0.95,13.19076923076923,-0.029000000000000026,0.979
9134.434,0.0,0.95,11.976984478935698,-0.029000000000000026,0.979
9320.04,0.0,0.95,10.054201954397394,-0.029000000000000026,0.979
9781.672,0.0,0.95,7.615065789473684,-0.029000000000000026,0.979
6732.248,0.0,0.95,11.347941176470588,-0.030000000000000027,0.98
6834.172,0.0,0.95,10.754843205574915,-0.030000000000000027,0.98
7124.753,0.0,0.95,18.08578125,-0.030000000000000027,0.98
7802.704,0.0,0.95,17.438644067796613,-0.030000000000000027,0.98
8499.345,0.0,0.95,14.954651162790697,-0.030000000000000027,0.98
8833.546,0.0,0.95,13.209586305278174,-0.030000000000000027,0.98
9134.934,0.0,0.95,12.0036,-0.030000000000000027,0.98
9320.404,0.0,0.95,10.070603588907016,-0.030000000000000027,0.98
9782.442,0.0,0.95,7.623424807903403,-0.030000000000000027,0.98
6740.109,1.019,0.95,9.526666666666667,-0.031000000000000028,0.981
6836.062,1.019,0.95,10.792447552447554,-0.031000000000000028,0.981
7127.343,0.0,0.95,18.15670588235294,-0.031000000000000028,0.981
7804.726,0.0,0.95,17.488045325779037,-0.031000000000000028,0.981
8500.268,0.0,0.95,14.983689320388349,-0.031000000000000028,0.981
8834.58,0.0,0.95,13.247381974248928,-0.031000000000000028,0.981
9135.434,1.035,0.95,12.016952169076752,-0.031000000000000028,0.981
9320.766,0.0,0.95,10.078824489795918,-0.031000000000000028,0.981
9783.213,0.0,0.95,7.631802197802197,-0.031000000000000028,0.981
6744.353,0.0,0.95,8.080209424083769,-0.03200000000000003,0.982
